id,name,This is the current 'specialisation_id' linked to this practice,This is the current specialisation 'name' linked to this 'specialisation_id',What specialisation_id should this practice be linked to?,What is the respective specailisation name/type of the 'specialisation_id' linked to this practice?,What is the respective Practice Type?,specialisation_id,name,specialisation_name
4899,Optique Optometrists - Cape Town CBD,2,Other,17,Optometry,Specialist Department,1,Ophthalmologist,Ophthalmology
5833,Dr Mzekelo Trevor Jarana,2,Other,420,General,General practice,2,Other,Other
4901,Kahmen Opticians,2,Other,17,Optometry,Specialist Department,3,Burns Specialist,Burns
7191,Incon Health,2,Other,420,General,General practice,4,Cardiologist,Cardiology
4570,Dr Azaan Aboobaker,2,Other,420,General,General practice,5,General Practitioner,
4903,Dr Graeme Colin Matroos,2,Other,420,General,General practice,6,Nurse,
5900,NMFC Block 6,226,NMFC Rotation,16,Family Medicine,University,7,Orthopaedic Surgeon,Orthopaedics
4905,Santana Medical Centre,2,Other,420,General,Medical Centre,8,Medical Officer,
5074,"Dr Dumisani Dladla (Suite 23, Umlazi Mall, Zwe Madala drive)",2,Other,420,General,General practice,10,Student,
5838,De Villiers Optometrist,2,Other,17,Optometry,Specialist Department,12,HIV Specialist,HIV
5866,Mwaca Clinic,2,Other,420,General,Clinic,13,Dermatologist,Dermatology
7195,Ntseshe Clinic,2,Other,420,General,Clinic,15,ENT Specialist,ENT
5839,Dr Anne-Mique Snyman,2,Other,420,General,General practice,16,Family Medicine Specialist,Family Medicine
5841,Clothing Industry Health Care Fund - Athlone,2,Other,420,General,Clinic,17,Optometrist,Optometry
5870,Al-Nisa Maternity Home,2,Other,27,Obstetrics / Gynaecology,Clinic,18,Neurosurgeon,Neurosurgery
5842,Dr Megan Page,2,Other,420,General,General practice,19,Oncologist,Oncology emergencies
5881,Nqanda A Clinic,2,Other,420,General,Clinic,20,Clinical Associate,
5844,Dr Kate Alexis Jordaan (Price),2,Other,420,General,General practice,21,Internal Medicine Specialist,Internal Medicine
5845,Sedilega Clinic,2,Other,420,General,Clinic,22,General Surgeon,General Surgery
5871,Mkemane Clinic,2,Other,420,General,Clinic,23,Ophthalmic Clinical Officer,
5847,Kenridge Practice,2,Other,420,General,General practice,25,ENT: Acoustician,
5849,Nompumelelo Gateway Clinic,2,Other,420,General,Clinic,27,Obstetrician / Gynaecologist,Obstetrics / Gynaecology
5877,Sandown Medical Centre,2,Other,420,General,Medical Centre,28,Paediatrician,Paediatrics
5878,Dr F Majiet,2,Other,420,General,General practice,31,Pharmacist,
5895,Superior Eyecare Optometrist,2,Other,17,Optometry,Specialist Department,32,Emergency physician,Emergency medicine
5880,Clicks Pharmacy - Mall of Africa,2,Other,420,General,Pharmacy,33,Neurologist,Neurology
5887,Dr Rael Salkinder,7,Orthopaedics,7,Orthopaedics,General practice,34,Critical Care Intensivist,Critical Care
5889,Pauw C P & Partners,2,Other,420,General,General practice,35,Intern,
5890,Dr Trevor John Papier,2,Other,420,General,General practice,36,Ambulance Assistant,
5893,Canal Walk Medical & Wellness Centre,2,Other,420,General,Clinic,37,Psychiatry,Psychiatry
5902,Info-Med Pharmacy - Broad Street,2,Other,420,General,Pharmacy,39,Paediatric Surgeon,Paediatric Surgery
5899,Sister Pharo's Primary Healthcare Facility,2,Other,420,General,Medical Centre,40,TB Specialist,TB
5901,IDEAL Student rotation 2021,2,Other,16,Family Medicine,University,41,Palliative Care Coordinator,Palliative Care
5904,HOPE Cape Town Association & Trust,2,Other,160,Infectious disease,Specialist Department,43,Dental practitioner,
5903,Paarl Internal Medicine,2,Other,21,Internal Medicine,Specialist Department,44,Clinical Pharmacologist,
5905,Tlamelong clinic,2,Other,420,General,Clinic,45,Emergency Care Practioner,
5906,Brett Phillips Physiotherapy,2,Other,123,Physiotherapy,General practice,46,Endocrinologist,Endocrinology
5907,Protea Advanced Rehabilitation Center,2,Other,420,General,Medical Centre,47,Medical Clerk,
5908,PORT ELIZABETH CHIROPRACTIC & HEALTHCARE INC.,2,Other,420,General,Medical Centre,48,Radiographer,
5909,Namaqua Health Centre (Dr Calvino Watt),2,Other,420,General,Medical Centre,49,National Vaccine Helpline,National Vaccine Helpline
5911,CANSA Western Cape,2,Other,19,Oncology,Medical Centre,50,Student Nurse,
5876,Groote Schuur Psychiatry OPD (Non-urgent out-patients referrals ONLY 8:00 - 16:00),367,Groote Schuur Psychiatry OPD,37,Psychiatry,Specialist Department,84,Haematologist,Haematology
4900,Jansen Vorster Optometrist (Stoltz M),2,Other,17,Optometry,Specialist Department,85,Pathologist,
3260,Komga Provincial Hospital,2,Other,420,General,Hospital,87,Student Support,Student Support
5834,Dr Melvyn Elroy Petersen,2,Other,420,General,General practice,120,Audiologist,Audiology
4902,Spectacle Connection,2,Other,17,Optometry,Specialist Department,121,Dietitian,Dietetics
721,O&G Royal Darwin Hospital,2,Other,27,Obstetrics / Gynaecology,Hospital,122,Speech Therapist,Speech Therapy
6886,Rob Ferreira - Paediatric Surgery,39,Paediatric Surgery,39,Paediatric Surgery,Specialist Department,123,Physiotherapist,Physiotherapy
4904,Town Two Clinic,2,Other,420,General,Clinic,124,Occupational Therapist,Occupational Therapy
5840,Strandfontein Clinic,2,Other,420,General,Clinic,125,Psychologist,Psychology
4906,Rossburgh Dental,2,Other,259,Oral Medicine,Specialist Department,126,Social Worker,Social Work
5896,IDEAL ROTATION - LEARNING FACILITATORS 2021,271,SU Students - Ideal rotation,16,Family Medicine,University,128,Anaesthesiologist,Anaesthesiology
5075,Dr Max Winkler,2,Other,420,General,General practice,130,Nephrologist,Nephrology
5846,Medirama Surgery No.1(Goodwood),2,Other,420,General,General Practice,131,Clinical Officer,
5824,Mthatha Gateway,2,Other,420,General,Clinic,132,Gastroscopy Clinician,Gastroscopy
7192,Pearls specialist medical centre,2,Other,420,General,Medical Centre,134,"Rheumatologist (Historical, not in use)","Rheumatology (Historical, not in use)"
5828,Dr Pieter Johan Dempers,13,Dermatology,13,Dermatology,General practice,137,Gastroenterologist,
5848,Athlone Pharmacy,2,Other,420,General,Pharmacy,138,Allergology and Immunology Specialist,Allergology and Immunology
5829,Booysens Park Clinic,2,Other,420,General,Clinic,140,ARV Advice for Pharmacists,ARV Advice for Pharmacists
5832,Dr P Gama Medical Practice,2,Other,420,General,General practice,141,Clinical Associate Student,
5850,Nolita Clinic,2,Other,420,General,Clinic,143,Urologist,Urology
7196,Klapmuts Medical Centre,2,Other,420,General,Medical Centre,144,Clinical Executive,Clinical Executive
5856,Mbadango Clinic,2,Other,420,General,Clinic,145,Emergency General Surgeon,Emergency General Surgery
5857,Malmesbury Infectious Disease Hospital,2,Other,169,Infectious Disease,Hospital,146,Burn Support,Burn Support
5867,Mtingwevu Clinic,2,Other,420,General,Clinic,147,NICD Hotline Healthworker,ZZ NICD Covid-19 Helpline
5938,Consultation Liaison Psychiatry (DO NOT USE),2,Other,37,Psychiatry,Specialist Department,148,Community Service Doctor,
5872,Mjika Clinic,2,Other,420,General,Clinic,151,COVID Drs on Call volunteer,ZZ Drs on Call DB
